City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country
251,San Patricio,19.22,-104.7,87.8,66,75,2.17,broken clouds,MX
252,Port Blair,11.67,92.75,82.42,77,100,5.41,overcast clouds,IN
253,Ostrovnoy,68.05,39.51,54.95,88,100,3.6,overcast clouds,RU
254,Marondera,-18.19,31.55,56.73,79,100,2.55,light rain,ZW
255,Lorengau,-2.02,147.27,82.85,73,86,8.57,overcast clouds,PG
256,Tingi,-11.3,35.03,65.34,65,83,3.27,broken clouds,TZ
257,Dikson,73.51,80.55,46.54,73,0,14.74,clear sky,RU
258,Prenzlau,53.32,13.87,90.0,39,78,1.99,broken clouds,DE
259,Puro,12.48,123.38,80.04,77,18,2.73,few clouds,PH
260,Nome,64.5,-165.41,51.8,87,90,3.15,overcast clouds,US
261,Ouegoa,-20.35,164.43,67.24,79,0,3.98,clear sky,NC
262,Angoche,-16.23,39.91,72.99,78,44,10.63,scattered clouds,MZ
263,Ossora,59.24,163.07,49.08,87,100,3.78,overcast clouds,RU
264,San Quintin,30.48,-115.95,78.15,68,74,2.53,broken clouds,MX
265,Sitka,57.05,-135.33,59.0,82,40,5.35,scattered clouds,US
266,Greeley,40.42,-104.71,81.0,56,1,4.99,clear sky,US
267,Numbrecht,50.9,7.55,81.0,61,20,5.82,few clouds,DE
268,Leningradskiy,69.38,178.42,40.19,81,100,2.86,overcast clouds,RU
269,Maceio,-9.67,-35.74,78.8,78,75,11.41,shower rain,BR
270,Tuatapere,-46.13,167.68,46.0,97,48,1.99,scattered clouds,NZ
271,Romitan,39.93,64.38,80.6,30,0,9.17,clear sky,UZ
272,Na Klang,17.31,102.19,75.54,89,100,1.01,light rain,TH
273,Tilichiki,60.47,166.1,45.7,99,100,6.73,light rain,RU
274,Hami,42.8,93.45,81.52,28,82,5.06,broken clouds,CN
275,Hanzhong,33.07,107.03,70.99,80,54,2.39,broken clouds,CN
276,Anda,46.4,125.32,58.39,61,0,6.96,clear sky,CN
277,Rio Grande,-32.03,-52.1,59.0,33,0,12.75,clear sky,BR
278,Pareora,-44.49,171.21,48.0,97,30,3.49,scattered clouds,NZ
279,Talnakh,69.49,88.4,57.2,87,89,6.71,light rain,RU
280,Saint Anthony,45.02,-93.22,81.0,57,1,12.75,clear sky,US
281,Pudozh,61.81,36.53,67.12,67,0,3.65,clear sky,RU
282,Cabras,39.93,8.53,88.07,42,0,5.88,clear sky,IT
283,Bengkulu,-3.8,102.27,77.36,87,63,4.25,light rain,ID
284,Hasaki,35.73,140.83,77.0,100,20,7.14,few clouds,JP
285,Karwar,14.8,74.13,78.8,88,100,8.97,moderate rain,IN
286,Belyy Yar,53.6,91.39,66.2,72,59,2.24,broken clouds,RU
287,Dharchula,29.85,80.53,70.3,71,57,2.35,light rain,IN
288,Ribeira Brava,32.65,-17.07,77.0,92,62,7.31,broken clouds,PT
289,Corinth,37.94,22.96,87.01,35,0,4.0,clear sky,GR
290,Tambo,-14.8,-73.92,51.53,44,74,7.52,broken clouds,PE
291,Sibu,2.3,111.82,80.6,88,40,0.47,scattered clouds,MY
292,Hualmay,-11.1,-77.61,65.48,66,53,6.8,broken clouds,PE
293,Ballina,-28.87,153.57,55.0,76,0,6.93,clear sky,AU
294,Morwa,22.9,73.83,78.48,91,94,14.99,light rain,IN
295,Kidal,18.44,1.41,107.96,8,62,17.47,broken clouds,ML
296,Kavieng,-2.57,150.8,82.08,80,7,11.59,clear sky,PG
297,Georgetown,5.41,100.34,80.6,94,40,4.7,scattered clouds,MY
298,Tutoia,-2.76,-42.27,86.27,57,15,13.2,few clouds,BR
299,Vila Franca Do Campo,37.72,-25.43,77.0,78,20,5.82,few clouds,PT
300,Campoverde,-8.48,-74.81,68.0,77,75,17.22,broken clouds,PE
301,Ribeira Grande,38.52,-28.7,73.4,73,75,4.7,broken clouds,PT
302,Pingliang,35.54,106.69,64.72,90,100,9.69,light rain,CN
303,Kribi,2.95,9.92,77.68,82,91,11.74,overcast clouds,CM
304,Garmsar,35.22,52.34,93.65,11,0,12.3,clear sky,IR
305,Hambantota,6.12,81.12,80.6,94,40,11.41,scattered clouds,LK
306,Samarai,-10.62,150.67,76.87,81,89,7.96,overcast clouds,PG
307,Kaeo,-35.1,173.78,50.0,3,4,7.11,clear sky,NZ
308,Severo-Kurilsk,50.68,156.12,51.48,80,30,15.32,scattered clouds,RU
309,Sao Gabriel Da Cachoeira,-0.13,-67.09,91.4,63,40,8.05,scattered clouds,BR
310,Paralimni,35.04,33.98,89.6,79,20,14.99,few clouds,CY
311,Buala,-8.14,159.59,80.33,76,21,2.04,few clouds,SB
312,Weligama,5.97,80.42,79.7,86,96,10.18,overcast clouds,LK
