City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
352,Banda Aceh,ID,81.07,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
356,Hai Duong,VN,82.4,scattered clouds,20.93,106.32,Hai Khanh Hotel
358,Sturgeon Bay,US,78.8,clear sky,44.83,-87.38,AmericInn by Wyndham Sturgeon Bay
359,Seoul,KR,78.8,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
360,Gigmoto,PH,81.41,broken clouds,13.78,124.39,Cj's Travellers Inn
367,La Asuncion,VE,89.6,overcast clouds,11.03,-63.86,Colinas de Matasiete
369,Lakatoro,VU,75.2,scattered clouds,-16.1,167.42,Lakatoro Palm Lodge
370,Lang Suan,TH,78.71,broken clouds,9.95,99.08,Langsuan Resort
371,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
379,Hammonton,US,84.99,overcast clouds,39.64,-74.8,"Red Carpet Inn & Suites Hammonton, NJ"
380,Brigantine,US,80.6,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
384,Owerri,NG,75.2,light intensity drizzle,5.48,7.03,Sun City Hotel
386,Akola,IN,76.42,moderate rain,20.73,77.0,STARiHOTELS Railway Station Akola
387,Dasoguz,TM,80.6,clear sky,41.84,59.97,Hotel Erik
389,Saint Pete Beach,US,89.01,broken clouds,27.73,-82.74,TradeWinds Island Grand Resort
393,Lamar,US,84.2,clear sky,33.67,-95.58,Kings Inn Paris TX
396,Krupina,SK,82.4,clear sky,48.36,19.06,Ubytovňa Kataster
397,Blue Springs,US,82.4,clear sky,39.02,-94.28,Courtyard by Marriott Kansas City East/Blue Springs
400,Sibolga,ID,77.76,light rain,1.74,98.78,Hotel Syariah CN Darussalam
401,Kuching,MY,80.6,few clouds,1.55,110.33,Hilton Kuching
402,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
407,Kisangani,CD,89.6,broken clouds,0.52,25.2,Grand Ramela Hotel
420,Picayune,US,86.0,scattered clouds,30.53,-89.68,Holiday Inn Express & Suites Picayune
421,Opoczno,PL,86.0,few clouds,51.38,20.28,Hotel Restauracja Park
422,Praia,CV,86.0,broken clouds,14.92,-23.51,LT Aparthotel
423,Puerto Carreno,CO,75.25,light rain,6.19,-67.49,Casa Hotel Victoria
424,Tagusao,PH,80.29,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
426,Broome,US,79.0,clear sky,42.25,-75.83,Chenango Valley State Park
427,Hamilton,US,79.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
429,Maicao,CO,87.73,light rain,11.38,-72.24,Hotel Fronterita
