City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Dingle,PH,2020-08-17 15:24:29,11.0,122.67,77.29,90,100,3.87
124,Najran,SA,2020-08-17 15:24:29,17.49,44.13,98.6,17,40,9.17
125,San Patricio,MX,2020-08-17 15:24:30,19.22,-104.7,80.6,83,75,3.87
126,Hit,IQ,2020-08-17 15:24:30,33.64,42.83,103.17,8,0,10.18
127,Mayo,US,2020-08-17 15:24:30,38.89,-76.51,80.01,66,40,3.36
128,Tiksi,RU,2020-08-17 15:24:30,71.69,128.87,47.3,65,100,6.58
129,Nabire,ID,2020-08-17 15:24:30,-3.37,135.48,76.69,86,100,3.18
130,East London,ZA,2020-08-17 15:24:31,-33.02,27.91,64.4,52,4,16.11
131,Karlstad,SE,2020-08-17 15:24:31,59.38,13.5,80.01,47,100,8.05
132,Tshikapa,CD,2020-08-17 15:24:31,-6.42,20.8,101.1,18,96,2.86
133,Curatele,RO,2020-08-17 15:24:31,46.7,22.42,84.2,42,18,6.93
134,Tanout,NE,2020-08-17 15:24:31,14.97,8.89,99.14,18,19,3.33
135,Bambous Virieux,MU,2020-08-17 15:24:32,-20.34,57.76,73.4,69,40,11.41
136,Bengkulu,ID,2020-08-17 15:24:32,-3.8,102.27,78.58,83,73,4.41
137,Nanakuli,US,2020-08-17 15:24:32,21.39,-158.15,77.0,78,75,7.99
138,Boyolangu,ID,2020-08-17 15:24:32,-8.12,111.89,74.73,89,50,3.85
139,Nandura,IN,2020-08-17 15:24:32,20.83,76.45,76.5,88,100,10.74
140,Poum,NC,2020-08-17 15:24:33,-20.23,164.02,71.51,88,67,21.34
141,Hobart,AU,2020-08-17 15:20:30,-42.88,147.33,50.0,93,90,2.04
142,Port Lincoln,AU,2020-08-17 15:24:33,-34.73,135.87,53.67,72,15,17.58
143,Atasu,KZ,2020-08-17 15:24:33,48.68,71.64,70.3,27,32,7.05
144,Lazaro Cardenas,MX,2020-08-17 15:24:33,17.96,-102.2,78.87,85,93,4.97
145,Soldatskaya,RU,2020-08-17 15:24:34,43.82,43.82,78.01,31,20,8.81
146,Gigmoto,PH,2020-08-17 15:24:34,13.78,124.39,80.71,80,91,2.06
147,Cabo San Lucas,MX,2020-08-17 15:24:34,22.89,-109.91,88.0,69,5,11.41
148,Adrar,MR,2020-08-17 15:24:34,20.5,-10.07,107.55,20,0,16.78
149,Kruisfontein,ZA,2020-08-17 15:24:34,-34.0,24.73,66.99,20,31,4.0
150,Cordele,US,2020-08-17 15:24:35,31.96,-83.78,90.0,58,1,5.97
151,Te Anau,NZ,2020-08-17 15:24:35,-45.42,167.72,36.21,88,100,1.01
152,Tondano,ID,2020-08-17 15:24:35,1.3,124.91,75.2,94,20,1.12
153,Inongo,CD,2020-08-17 15:24:35,-1.95,18.27,78.55,67,17,2.19
154,Half Moon Bay,US,2020-08-17 15:24:35,37.46,-122.43,73.99,73,40,4.43
155,Kaitangata,NZ,2020-08-17 15:24:36,-46.28,169.85,41.0,79,43,4.5
156,Karratha,AU,2020-08-17 15:24:36,-20.74,116.85,67.98,30,0,12.5
157,Marystown,CA,2020-08-17 15:24:36,47.17,-55.15,67.33,65,92,9.24
158,Soloneshnoye,RU,2020-08-17 15:24:36,51.65,84.32,62.46,53,35,4.54
159,Makakilo City,US,2020-08-17 15:24:36,21.35,-158.09,77.0,78,75,7.29
160,Berezovyy,RU,2020-08-17 15:24:37,51.67,135.7,55.08,87,100,1.43
161,Saskylakh,RU,2020-08-17 15:24:37,71.92,114.08,57.45,46,98,5.91
162,Mehran,IR,2020-08-17 15:24:37,33.12,46.16,91.4,15,0,13.87
163,Todos Santos,MX,2020-08-17 15:24:37,23.45,-110.22,79.0,81,55,8.99
164,Manokwari,ID,2020-08-17 15:24:37,-0.87,134.08,79.68,78,18,2.3
165,Bonthe,SL,2020-08-17 15:24:38,7.53,-12.51,79.32,71,96,10.74
166,Hasaki,JP,2020-08-17 15:24:38,35.73,140.83,81.0,94,75,2.24
167,Carutapera,BR,2020-08-17 15:24:38,-1.2,-46.02,86.18,64,39,10.54
168,Port Hardy,CA,2020-08-17 15:24:38,50.7,-127.42,59.0,93,40,6.93
169,Zeya,RU,2020-08-17 15:24:38,53.75,127.27,53.35,93,100,5.41
170,Aitape,PG,2020-08-17 15:24:38,-3.14,142.35,77.99,81,2,6.13
171,Samarinda,ID,2020-08-17 15:24:39,-0.5,117.15,75.83,93,95,3.15
172,Acapulco,MX,2020-08-17 15:23:35,16.86,-99.89,77.0,94,90,6.93
173,Sayat,TM,2020-08-17 15:24:39,38.78,63.88,86.0,22,6,13.87
174,Saint George,US,2020-08-17 15:22:06,37.1,-113.58,89.01,12,1,4.29
175,Camacari,BR,2020-08-17 15:19:48,-12.7,-38.32,73.4,83,40,11.41
176,Cocorit,MX,2020-08-17 15:24:40,27.58,-109.97,86.0,48,20,10.29
177,Lagoa,PT,2020-08-17 15:24:40,39.05,-27.98,74.73,88,100,33.31
178,Nanortalik,GL,2020-08-17 15:24:40,60.14,-45.24,48.81,63,97,5.84
179,Bandarbeyla,SO,2020-08-17 15:24:40,9.49,50.81,77.27,79,7,31.29
180,Marawi,PH,2020-08-17 15:24:40,8.0,124.29,73.99,95,100,1.99
181,Bethel,US,2020-08-17 15:24:41,41.37,-73.41,72.0,68,75,5.82
182,Okahandja,NA,2020-08-17 15:24:41,-21.98,16.92,73.4,10,0,11.41
183,Naze,JP,2020-08-17 15:24:41,28.37,129.48,80.6,88,0,2.8
184,Malindi,KE,2020-08-17 15:24:41,-3.22,40.12,82.4,65,40,17.22
185,Kant,IN,2020-08-17 15:24:42,27.8,79.8,87.51,67,6,3.15
186,Iskateley,RU,2020-08-17 15:24:42,67.68,53.15,51.37,82,100,8.01
187,Lavrentiya,RU,2020-08-17 15:24:42,65.58,-171.0,44.55,92,100,2.35
188,Sinnamary,GF,2020-08-17 15:24:42,5.38,-52.95,84.11,69,85,10.83
189,Banfora,BF,2020-08-17 15:24:42,10.63,-4.77,86.67,67,62,4.94
190,Miraflores,MX,2020-08-17 15:24:43,19.22,-98.81,64.4,67,20,4.7
191,Littleton,US,2020-08-17 15:24:05,39.61,-105.02,75.99,46,20,2.19
192,Troitsko-Pechorsk,RU,2020-08-17 15:24:43,62.71,56.2,48.54,97,100,4.99
193,Tura,IN,2020-08-17 15:24:43,25.52,90.22,76.33,92,99,8.46
194,Ahipara,NZ,2020-08-17 15:24:43,-35.17,173.17,56.57,80,100,13.24
195,Dongsheng,CN,2020-08-17 15:24:43,39.82,109.98,56.68,74,100,10.71
196,Jacareacanga,BR,2020-08-17 15:24:44,-6.22,-57.75,91.4,55,86,4.7
197,Vardo,NO,2020-08-17 15:24:44,70.37,31.11,50.0,66,40,21.92
198,Cayenne,GF,2020-08-17 15:24:44,4.93,-52.33,89.6,55,75,5.82
199,Tuktoyaktuk,CA,2020-08-17 15:24:44,69.45,-133.04,50.0,87,90,4.7
200,Emmaus,US,2020-08-17 15:24:45,40.54,-75.5,75.2,73,1,6.93
201,Djambala,CG,2020-08-17 15:24:45,-2.54,14.75,80.87,57,70,9.24
202,Lockhart,US,2020-08-17 15:24:45,28.62,-81.44,90.0,62,20,3.36
203,Nouadhibou,MR,2020-08-17 15:24:45,20.93,-17.03,78.8,65,96,20.8
204,Kapit,MY,2020-08-17 15:24:46,2.02,112.93,75.29,91,53,0.31
205,Stokmarknes,NO,2020-08-17 15:24:46,68.56,14.91,51.8,87,75,16.11
206,Mormugao,IN,2020-08-17 15:24:46,15.4,73.8,79.43,88,100,12.95
207,Presidencia Roque Saenz Pena,AR,2020-08-17 15:24:46,-26.79,-60.44,71.19,23,0,5.86
208,Eyl,SO,2020-08-17 15:24:46,7.98,49.82,78.35,72,51,28.95
209,Husavik,IS,2020-08-17 15:24:47,66.04,-17.34,59.0,72,100,14.99
210,Chokwe,MZ,2020-08-17 15:24:47,-24.53,32.98,70.61,61,98,4.36
